mean,AWATER10,ALAND10,FUNCSTAT10,INTPTLON10,CLASSFP10,ZCTA5CE10,MTFCC10,INTPTLAT10,system:index,GEOID10
0.4341178571342329,0,11411336,S,-087.7037791,B5,60655,G6350,+41.6947815,00040000000000000633,60655
0.3970545375268097,0,8465988,S,-087.8271313,B5,60656,G6350,+41.9742801,00040000000000000634,60656
0.0925859603051951,0,769603,S,-087.6440977,B5,60661,G6350,+41.8830256,00040000000000000635,60661
0.34187732679274657,0,7660354,S,-087.8162416,B5,60706,G6350,+41.9642573,00040000000000000636,60706
0.28484249251840027,0,9344447,S,-087.8072816,B5,60707,G6350,+41.9218538,00040000000000000637,60707
0.364306142813331,0,6888377,S,-087.7332386,B5,60712,G6350,+42.0054319,00040000000000000638,60712
0.3702068896218965,0,16481998,S,-087.8109600,B5,60714,G6350,+42.0280552,00040000000000000639,60714
0.36188718824581934,0,8823142,S,-087.7024421,B5,60805,G6350,+41.7220053,0004000000000000063a,60805
0.4313480391150705,0,10552664,S,-087.8374453,B5,60026,G6350,+42.0922336,0004000000000000079a,60026
0.6732622415604352,0,2165140,S,-087.7783393,B5,60029,G6350,+42.0592527,0004000000000000079b,60029
0.553844046994883,0,1591034,S,-087.7145880,B5,60043,G6350,+42.0888593,0004000000000000079e,60043
0.4107010364248662,0,13014738,S,-087.7889487,B5,60053,G6350,+42.0423363,0004000000000000079f,60053
0.4063307749421869,0,13866395,S,-087.7299282,B5,60076,G6350,+42.0352591,000400000000000007a1,60076
0.2690213614943593,0,6096104,S,-087.8764296,B5,60104,G6350,+41.8828454,000400000000000007a2,60104
0.39485562178134287,0,7168774,S,-087.8173891,B5,60130,G6350,+41.8664396,000400000000000007a6,60130
0.23257562284042588,0,14368840,S,-087.8842627,B5,60131,G6350,+41.9387552,000400000000000007a7,60131
0.31037158148547755,0,1072024,S,-087.8379934,B5,60141,G6350,+41.8578314,000400000000000007a8,60141
0.35737399789433,0,7762120,S,-087.8432512,B5,60153,G6350,+41.8792827,000400000000000007b8,60153
0.5304364613792645,0,12486176,S,-087.8916434,B5,60154,G6350,+41.8474715,000400000000000007b9,60154
0.32452444463452823,0,4829426,S,-087.8562254,B5,60155,G6350,+41.8576963,000400000000000007ba,60155
0.2535906596598037,0,11518695,S,-087.8606651,B5,60160,G6350,+41.9041437,000400000000000007bb,60160
0.4096022482110531,0,8289155,S,-087.9021880,B5,60162,G6350,+41.8675326,000400000000000007bc,60162
0.3143008759959599,0,4165453,S,-087.9090478,B5,60163,G6350,+41.8888296,000400000000000007bd,60163
0.29524984644337604,0,880352,S,-087.8807128,B5,60165,G6350,+41.9032146,000400000000000007be,60165
0.420617253539504,0,5847505,S,-087.8383725,B5,60171,G6350,+41.9250465,000400000000000007bf,60171
0.3230922898109866,0,6860618,S,-087.8688856,B5,60176,G6350,+41.9581253,000400000000000007c0,60176
0.4893333947412566,0,5122557,S,-088.0862835,B5,60195,G6350,+42.0749620,000400000000000007c1,60195
0.5015268974891253,0,1765387,S,-087.7174535,B5,60203,G6350,+42.0490446,000400000000000007c2,60203
0.3868996731913773,0,400865,S,-087.7989329,B5,60301,G6350,+41.8885448,000400000000000007c3,60301
0.3821190805320556,0,7803797,S,-087.7897133,B5,60302,G6350,+41.8946113,000400000000000007c4,60302
0.3387250827669209,0,3969173,S,-087.7894826,B5,60304,G6350,+41.8723893,000400000000000007c5,60304
0.5828298697739164,0,12396163,S,-087.6117260,B5,60425,G6350,+41.5455764,000400000000000007c6,60425
0.38840641557411226,0,19954704,S,-087.6533945,B5,60426,G6350,+41.6103435,000400000000000007c7,60426
0.49260198422927387,0,13454827,S,-087.6905649,B5,60428,G6350,+41.5997998,000400000000000007c8,60428
0.2775053901681695,0,11285494,S,-087.8086424,B5,60455,G6350,+41.7420759,000400000000000007ca,60455
0.3242599070296083,0,1240336,S,-087.7311338,B5,60456,G6350,+41.7312484,000400000000000007cb,60456
0.44559809235549586,0,7504069,S,-087.8280427,B5,60457,G6350,+41.7246643,000400000000000007cc,60457
0.34688693513511604,0,10868636,S,-087.7685773,B5,60459,G6350,+41.7444313,000400000000000007cd,60459
0.20718368484357608,30466,10481520,S,-087.7010284,B5,60647,G6350,+41.9212150,00040000000000001979,60647
0.5038516934927866,31490,12430330,S,-087.7340591,B5,60471,G6350,+41.4789709,0004000000000000183d,60471
0.3065811996984809,2819,5250723,S,-087.7039859,B5,60659,G6350,+41.9914885,0004000000000000197d,60659
0.567309432456941,263,9130758,S,-087.9010393,B5,60558,G6350,+41.8056034,0004000000000000186f,60558
0.5396204069137819,75022,9329364,S,-087.9289718,B5,60070,G6350,+42.1036632,00040000000000000dc9,60070
0.4686576652426843,33038,6322620,S,-087.7899455,B5,60482,G6350,+41.6878431,00040000000000001847,60482
0.4506889289336912,63502,22300994,S,-087.8344163,B5,60487,G6350,+41.5627296,00040000000000001849,60487
0.5162263714600561,86799,20645758,S,-088.1777706,B5,60107,G6350,+42.0205861,00040000000000000dd9,60107
0.22166585820076737,49424,20092663,S,-087.6569347,B5,60609,G6350,+41.8126802,00040000000000001878,60609
0.37694219581064997,24085,18422020,S,-087.8061174,B5,60634,G6350,+41.9461885,00040000000000001975,60634
0.28806147209678834,161563,17639584,S,-087.7114956,B5,60629,G6350,+41.7758678,00040000000000001971,60629
0.4818622310572259,4020510,22045825,S,-087.7562917,B5,60093,G6350,+42.1067078,000400000000000013aa,60093
0.2296747122026549,372767,19848453,S,-087.7598698,B5,60804,G6350,+41.8380357,00040000000000001980,60804
0.5068175428304793,779300,21024056,S,-088.1425904,B5,60133,G6350,+41.9777258,00040000000000000de2,60133
0.28642123971658745,656169,42345213,S,-087.9117630,B5,60018,G6350,+41.9793883,000400000000000013a1,60018
0.5481657014126403,937009,37499879,S,-087.9323598,B5,60527,G6350,+41.7426235,0004000000000000185a,60527
0.6316388533591523,970289,20067859,S,-087.8607559,B5,60464,G6350,+41.6628404,00040000000000000e9c,60464
0.5326376197988612,296246,12205020,S,-087.9281725,B5,60521,G6350,+41.8006826,000400000000000012b2,60521
0.316030777008766,9786,15863102,S,-088.0555224,B5,60173,G6350,+42.0515564,000400000000000013c7,60173
0.3383391145989097,59,21904195,S,-087.7525598,B5,60453,G6350,+41.7134365,000400000000000013cf,60453
0.5667188879752841,9275,7200227,S,-087.7007330,B5,60461,G6350,+41.5221155,00040000000000000e99,60461
0.28999796845664144,14139,9155267,S,-087.7244439,B5,60624,G6350,+41.8805038,00040000000000001881,60624
0.3874523806561524,3492923,13856986,S,-087.7205811,B5,60091,G6350,+42.0780667,00040000000000000dd2,60091
0.18174061346284137,1192512,4416736,S,-087.6670946,B5,60626,G6350,+42.0100191,00040000000000001883,60626
0.4692558719624765,225859,19898547,S,-088.1166149,B5,60169,G6350,+42.0508698,000400000000000013c6,60169
0.5034477739791138,307011,47995817,S,-087.8467036,B5,60062,G6350,+42.1265111,00040000000000000dc5,60062
0.5687124740637838,489285,35037256,S,-087.8781726,B5,60015,G6350,+42.1738093,00040000000000000db3,60015
0.4485218514929656,154441,4284829,S,-087.7080819,B5,60472,G6350,+41.6430745,0004000000000000183e,60472
0.4164659975799486,1229641,18161652,S,-087.6335719,B5,60827,G6350,+41.6494340,00040000000000001981,60827
0.36381087649513105,32586,19027065,S,-087.6632674,B5,60643,G6350,+41.7002727,000400000000000012de,60643
0.5023259023732157,1055057,37685742,S,-087.8890958,B5,60467,G6350,+41.6016208,00040000000000000e9f,60467
0.479717547768354,544594,82189811,S,-087.5903141,B5,60411,G6350,+41.5087744,00040000000000000e7f,60411
0.18538305019540338,35154,6354377,S,-087.6833374,B5,60622,G6350,+41.9021720,00040000000000001880,60622
0.5757960264468556,3407701,78807832,S,-087.9817705,B5,60439,G6350,+41.6763970,000400000000000013cb,60439
0.4757105369102219,208984,8744246,S,-087.6017066,B5,60476,G6350,+41.5694817,00040000000000001841,60476
